N,P,K,temperature,humidity,ph,rainfall,label
86,50,48,15.709486,58.927439,7.052899,349.685002,Tritikale
92,59,31,18.547655,51.944975,6.998509,389.466423,Tritikale
73,60,29,16.895146,56.908705,6.494476,371.28363,Tritikale
95,57,45,16.308227,50.175999,6.699714,377.618742,Tritikale
99,58,44,17.154579,50.663482,6.495938,366.618355,Tritikale
98,39,27,15.921005,58.68616,7.016224,362.339493,Tritikale
84,45,27,17.592757,55.72658,6.089657,388.647592,Tritikale
61,51,39,17.427221,58.117073,6.364744,369.423107,Tritikale
80,60,43,16.482862,50.8164,6.750386,343.575731,Tritikale
80,60,35,17.106881,59.554074,6.163471,332.743666,Tritikale
61,39,31,15.887483,53.084191,6.083389,330.57064,Tritikale
82,56,39,17.785366,57.205094,6.165791,373.287953,Tritikale
97,57,26,17.650449,54.837213,6.956912,384.887129,Tritikale
80,40,28,18.228117,51.565768,6.413382,395.567865,Tritikale
87,47,32,16.543484,55.068202,7.396991,357.143414,Tritikale
77,52,49,16.65194,58.911899,6.757372,353.208916,Tritikale
62,45,25,17.20146,51.823186,7.485049,358.715455,Tritikale
84,54,26,15.381097,50.86554,6.208022,381.742888,Tritikale
67,54,28,18.809197,54.746227,6.338689,348.45772,Tritikale
91,58,34,15.729165,58.151424,6.865651,358.332446,Tritikale
97,51,36,15.350793,59.355837,6.06266,340.835151,Tritikale
79,54,32,18.677005,55.746163,6.793076,370.84152,Tritikale
100,59,40,15.164816,59.323187,6.467736,361.718015,Tritikale
89,39,47,18.551524,50.895717,7.338301,337.00647,Tritikale
97,46,41,15.136515,58.11828,7.297088,346.657368,Tritikale
86,48,29,17.636424,59.394178,7.20482,380.573052,Tritikale
80,37,44,15.633561,54.330825,6.216617,393.621446,Tritikale
82,44,37,16.35077,58.256215,6.937604,398.541117,Tritikale
61,52,45,16.670104,52.403053,7.223942,399.055991,Tritikale
62,50,34,17.943694,55.680012,6.991388,381.256555,Tritikale
84,59,40,18.18017,50.147634,7.296261,336.662565,Tritikale
86,51,40,17.549666,50.669713,7.363816,381.012405,Tritikale
61,49,29,15.148276,59.272968,7.106211,353.388158,Tritikale
94,54,28,16.269523,51.239556,6.421666,341.057891,Tritikale
40,41,20,15.04949,48.467269,7.330027,320.114701,Kaplica_Bugdayi
48,25,27,16.304337,52.379638,7.860539,312.889456,Kaplica_Bugdayi
67,29,38,15.41591,50.982279,6.513573,357.446079,Kaplica_Bugdayi
61,29,33,15.656525,48.849679,6.770861,353.845107,Kaplica_Bugdayi
67,44,22,16.702621,51.459541,6.936263,350.049945,Kaplica_Bugdayi
50,26,23,17.386549,49.695965,6.879379,353.580507,Kaplica_Bugdayi
40,34,24,16.266663,53.51318,7.341055,322.18637,Kaplica_Bugdayi
66,31,30,16.055145,51.743289,7.802843,323.247221,Kaplica_Bugdayi
56,27,35,16.60309,54.564926,7.306691,353.493416,Kaplica_Bugdayi
69,40,37,17.81717,48.475347,7.119844,345.043162,Kaplica_Bugdayi
56,29,39,16.669622,54.854358,6.693503,316.182427,Kaplica_Bugdayi
54,43,28,16.101611,50.806078,7.979747,357.2119,Kaplica_Bugdayi
69,33,37,17.304054,53.420655,7.642714,359.120234,Kaplica_Bugdayi
56,25,29,16.11207,49.921867,6.841436,356.434377,Kaplica_Bugdayi
68,41,29,16.638397,54.204724,7.758769,300.893684,Kaplica_Bugdayi
40,44,36,17.798256,53.185564,7.321792,321.742846,Kaplica_Bugdayi
55,41,20,16.934624,53.369441,7.734602,333.19768,Kaplica_Bugdayi
65,39,40,17.702979,53.333754,6.529779,356.920463,Kaplica_Bugdayi
52,25,31,16.313111,48.799772,7.383198,307.306302,Kaplica_Bugdayi
69,35,25,16.774672,48.481523,7.256977,302.983786,Kaplica_Bugdayi
64,43,33,15.261889,53.852498,7.500893,336.301844,Kaplica_Bugdayi
47,26,25,16.401343,48.630883,6.8515,312.554463,Kaplica_Bugdayi
69,44,37,17.724952,50.818107,7.182187,334.704097,Kaplica_Bugdayi
65,34,23,15.556992,49.301313,7.06498,301.046269,Kaplica_Bugdayi
63,29,35,16.321709,50.252664,7.141017,345.243264,Kaplica_Bugdayi
49,38,25,15.569005,52.077278,7.456834,322.973982,Kaplica_Bugdayi
66,25,40,16.455167,53.420183,6.601139,346.907832,Kaplica_Bugdayi
51,41,26,15.536404,49.346217,7.868974,352.860479,Kaplica_Bugdayi
61,35,32,16.99746,49.85216,6.66864,315.077258,Kaplica_Bugdayi
42,29,31,17.386815,48.800029,6.86405,338.58426,Kaplica_Bugdayi
50,27,25,17.836848,53.149535,7.643287,362.350822,Kaplica_Bugdayi
57,28,26,17.242804,51.176219,7.874788,312.846253,Kaplica_Bugdayi
44,45,26,15.915846,50.855117,7.709544,304.207992,Kaplica_Bugdayi
47,39,28,15.416129,49.887313,7.985323,307.004583,Kaplica_Bugdayi
49,43,39,15.006089,53.003189,7.019625,332.731151,Kaplica_Bugdayi
69,28,23,15.94404,49.4998,7.878176,367.37584,Kaplica_Bugdayi
52,44,28,17.763606,49.252246,7.4046,319.970177,Kaplica_Bugdayi
58,40,28,15.002993,49.030192,6.854707,310.10418,Kaplica_Bugdayi
65,30,28,17.705249,51.574245,7.134612,310.190905,Kaplica_Bugdayi
47,31,30,16.345136,50.153034,6.755681,344.648172,Kaplica_Bugdayi
69,42,22,17.815343,51.743749,7.227971,321.522454,Kaplica_Bugdayi
59,37,31,15.384367,54.707335,7.259533,340.967884,Kaplica_Bugdayi
48,27,37,16.114877,48.7048,6.603585,363.591237,Kaplica_Bugdayi
65,26,37,16.451804,54.510463,6.870316,315.197376,Kaplica_Bugdayi
63,38,27,16.286936,53.865049,7.873724,320.968692,Kaplica_Bugdayi
48,45,34,15.215076,52.319645,7.553131,369.238457,Kaplica_Bugdayi
40,26,25,15.104061,50.341585,7.456477,345.758134,Kaplica_Bugdayi
57,40,21,17.587481,51.022913,7.261341,329.123559,Kaplica_Bugdayi
66,45,35,15.775087,51.149381,6.880352,366.774122,Kaplica_Bugdayi
55,44,38,15.026589,51.340267,7.865397,318.536429,Kaplica_Bugdayi
50,43,27,17.292443,51.167127,6.690339,302.253153,Kaplica_Bugdayi
61,37,31,15.734015,50.628223,7.717448,314.873248,Kaplica_Bugdayi
59,44,30,16.046135,49.245665,7.361107,315.023765,Kaplica_Bugdayi
46,42,35,15.936008,53.300875,6.799376,313.921282,Kaplica_Bugdayi
41,29,30,17.529008,50.329798,7.190036,361.019493,Kaplica_Bugdayi
62,38,34,17.503723,54.522184,6.716242,338.154323,Kaplica_Bugdayi
49,30,37,15.842749,48.303518,6.704583,354.691354,Kaplica_Bugdayi
51,43,26,15.103758,54.884232,7.268592,301.006553,Kaplica_Bugdayi
50,37,25,15.6245,49.542397,7.10606,343.308815,Kaplica_Bugdayi
64,38,39,16.651202,49.88335,7.523743,358.951351,Kaplica_Bugdayi
64,38,30,16.545145,53.196376,6.577501,322.86918,Kaplica_Bugdayi
60,32,25,17.038674,54.048652,7.744281,302.78823,Kaplica_Bugdayi
66,26,38,16.628058,51.968118,6.847713,320.856443,Kaplica_Bugdayi
43,42,32,16.95208,51.127097,6.52403,338.690115,Kaplica_Bugdayi
57,27,36,17.701791,53.957465,7.960667,319.616159,Kaplica_Bugdayi
60,28,34,15.179166,50.083643,7.336031,320.942956,Kaplica_Bugdayi
47,28,30,17.893766,53.023205,7.465013,322.203293,Kaplica_Bugdayi
60,38,20,17.26844,50.401134,6.804594,336.212389,Kaplica_Bugdayi
54,27,36,16.17741,48.299366,6.847373,356.748312,Kaplica_Bugdayi
48,37,33,15.040296,48.150575,7.011167,352.777306,Kaplica_Bugdayi
48,40,34,15.12697,48.667059,7.836335,307.275924,Kaplica_Bugdayi
43,41,33,17.904555,52.057606,7.483032,302.234116,Kaplica_Bugdayi
63,44,33,16.064115,48.918169,6.808308,325.672507,Kaplica_Bugdayi
43,37,26,17.762453,53.279698,7.591738,307.965134,Kaplica_Bugdayi
60,44,38,17.185086,50.522115,7.027953,359.692705,Kaplica_Bugdayi
46,44,27,15.656166,53.313274,7.316514,345.577651,Kaplica_Bugdayi
60,42,28,16.616331,51.927069,7.011884,367.344589,Kaplica_Bugdayi
66,33,24,16.856352,49.363073,7.287205,352.958129,Kaplica_Bugdayi
40,43,21,17.830701,50.166676,7.727879,365.734878,Kaplica_Bugdayi
65,40,26,16.449167,53.053089,7.005155,329.532098,Kaplica_Bugdayi
44,67,79,21.409024,15.566484,8.435981,405.713554,Nohut
57,66,79,20.849467,18.048696,8.079936,392.29776,Nohut
41,75,91,20.816226,18.029715,7.263323,397.348194,Nohut
28,78,93,19.761088,18.662081,8.592231,402.56251,Nohut
26,62,84,19.880523,17.615198,7.809091,380.687783,Nohut
41,78,83,19.067476,17.412426,8.178649,373.046148,Nohut
42,77,80,20.173432,16.90331,7.733714,400.589141,Nohut
36,62,80,21.085487,16.252793,8.113595,387.313072,Nohut
36,79,75,21.375343,17.647149,7.632818,391.187916,Nohut
46,63,91,20.607276,17.499595,8.384044,411.517906,Nohut
44,70,88,18.479059,16.402996,7.728401,374.789386,Nohut
28,65,85,21.26479,18.163804,7.860964,387.275534,Nohut
31,79,88,17.584182,17.34036,8.131157,393.535699,Nohut
48,80,88,21.463998,16.221544,7.267309,397.235686,Nohut
49,78,81,20.226376,16.064973,7.881473,383.728688,Nohut
25,73,88,18.662713,15.354171,7.686941,375.289827,Nohut
28,66,91,19.046376,15.562902,7.670114,408.38894,Nohut
40,69,91,20.273307,18.689258,8.453292,399.177818,Nohut
39,77,76,18.164635,17.49147,8.588606,398.699357,Nohut
34,68,94,20.042307,16.895478,8.24339,409.768875,Nohut
28,69,81,17.561657,15.893545,8.541002,411.986781,Nohut
48,64,77,21.281607,17.474874,8.323088,385.701027,Nohut
35,71,80,18.227709,17.763994,7.310695,407.616436,Nohut
31,80,81,17.444442,18.294697,8.271242,371.416567,Nohut
39,69,86,19.156491,16.083469,7.705292,387.332484,Nohut
45,77,78,20.482965,17.154201,7.58382,399.377729,Nohut
40,63,85,17.647958,17.789252,7.900257,411.765903,Nohut
47,76,92,19.063409,15.798194,7.457075,397.424635,Nohut
45,78,86,20.945374,16.440782,7.879955,395.799648,Nohut
41,76,84,20.413983,15.950193,7.361727,407.977656,Nohut
43,80,83,17.922424,18.142806,7.788147,383.408943,Nohut
28,68,81,18.064576,17.143168,7.722257,401.093696,Nohut
36,78,82,18.647482,17.052853,7.290487,395.86396,Nohut
48,60,88,19.046718,18.29387,7.848133,388.494469,Nohut
56,68,89,18.208605,18.171197,7.552288,402.614176,Nohut
38,71,92,18.465907,17.94962,8.253844,376.246872,Nohut
25,64,78,17.518857,16.976979,8.294072,410.781809,Nohut
45,66,88,17.358108,15.674,7.20099,407.444653,Nohut
37,60,83,17.769045,16.650871,8.439163,370.24667,Nohut
58,66,80,17.868414,16.807828,7.829459,379.476753,Nohut
35,73,77,19.793797,16.034221,8.415913,381.952424,Nohut
48,74,83,18.703972,17.035345,7.253075,366.507611,Nohut
35,66,82,20.731562,18.644888,8.476507,381.885695,Nohut
36,76,86,19.776135,18.21844,7.330115,397.099554,Nohut
44,68,78,20.426301,16.066873,7.664559,407.456646,Nohut
42,67,77,18.094978,18.039213,7.574512,386.510605,Nohut
37,64,89,17.626446,15.336102,7.450595,379.641961,Nohut
54,60,91,20.642336,17.309583,8.009964,394.133753,Nohut
53,80,89,19.969105,15.425261,7.258198,385.436378,Nohut
47,75,77,21.446401,18.683398,7.432217,405.988302,Nohut
50,75,88,18.278842,17.62071,8.243677,373.871832,Nohut
31,80,87,19.286296,17.078431,7.713234,404.179418,Nohut
46,71,78,21.027318,17.715976,8.312526,391.521637,Nohut
59,77,91,20.426077,15.950104,7.465713,377.013242,Nohut
51,72,91,19.61737,17.538458,7.583848,395.933147,Nohut
36,60,86,18.669062,15.461909,8.420909,388.413022,Nohut
39,71,82,18.939586,16.716808,7.347014,368.19344,Nohut
54,72,93,19.1957,18.190712,7.412721,397.983721,Nohut
45,64,80,18.053161,17.943329,8.074982,391.89249,Nohut
46,71,79,18.880206,16.343152,7.782436,376.908172,Nohut
57,79,77,19.376826,15.378951,8.453017,408.997873,Nohut
42,70,88,21.042807,16.336312,7.255847,368.094342,Nohut
34,61,84,19.875713,16.316261,8.281735,384.032321,Nohut
51,80,87,18.112806,16.721958,7.390801,400.385814,Nohut
59,60,94,21.175596,17.318195,7.848196,371.711641,Nohut
57,72,84,18.418323,18.456848,7.376392,406.926813,Nohut
33,76,88,18.548688,15.939604,7.56756,386.661351,Nohut
38,61,83,18.526789,17.400295,8.313211,387.84058,Nohut
26,76,77,18.182309,16.645938,8.438794,393.674225,Nohut
55,80,94,20.278668,17.898463,8.022535,382.493762,Nohut
47,71,86,19.833082,17.622173,8.280901,369.262718,Nohut
29,72,80,17.531822,18.661815,8.492604,367.856471,Nohut
32,66,92,19.304148,18.320244,7.623882,366.301821,Nohut
52,72,90,18.895907,18.65509,7.852575,384.418673,Nohut
52,77,81,21.494241,18.195188,8.158382,401.411072,Nohut
26,70,93,21.296744,17.584247,8.361251,405.04062,Nohut
38,73,92,20.343609,16.395117,7.552797,377.116179,Nohut
39,64,80,18.896794,16.948378,7.345421,375.802972,Nohut
51,78,93,18.310873,18.07287,7.904483,383.533446,Nohut
37,72,79,19.133474,15.427412,8.235325,404.695232,Nohut
9,73,23,21.242672,23.999142,6.492537,488.519808,Kuru_Fasulye
23,77,20,19.770821,24.351973,6.885411,471.402007,Kuru_Fasulye
16,78,23,21.664861,25.498012,6.584831,497.52811,Kuru_Fasulye
16,61,20,21.043239,25.366854,6.352946,502.046925,Kuru_Fasulye
34,69,21,20.290093,24.404458,6.279901,476.899611,Kuru_Fasulye
7,70,15,19.510982,24.397177,6.115983,460.871437,Kuru_Fasulye
29,59,22,19.445803,24.543351,6.649213,497.462086,Kuru_Fasulye
31,60,21,20.793859,23.286085,6.169729,492.79405,Kuru_Fasulye
24,64,17,19.310178,25.37379,5.572738,504.239355,Kuru_Fasulye
23,68,18,21.951653,25.715949,5.699166,500.415234,Kuru_Fasulye
17,54,23,19.746242,23.769271,5.924203,497.644742,Kuru_Fasulye
35,63,16,19.407686,22.91206,6.665269,460.810098,Kuru_Fasulye
4,70,23,22.836993,21.744293,6.525885,469.814972,Kuru_Fasulye
12,60,17,21.423765,24.604614,6.620267,489.899126,Kuru_Fasulye
23,56,19,19.260099,22.730231,6.792123,476.027193,Kuru_Fasulye
24,59,24,22.603528,24.897412,5.861802,505.889276,Kuru_Fasulye
28,79,21,21.62128,24.217221,6.203062,495.754746,Kuru_Fasulye
23,79,17,22.717811,25.137325,6.760847,467.194801,Kuru_Fasulye
28,54,16,20.456174,21.265257,6.437226,485.260724,Kuru_Fasulye
26,65,24,22.848234,25.321641,6.498862,493.495748,Kuru_Fasulye
25,79,22,22.236172,25.760063,5.73771,493.601116,Kuru_Fasulye
30,55,24,22.109899,22.980105,6.396554,474.383961,Kuru_Fasulye
14,67,23,19.62145,24.605364,5.582048,496.34575,Kuru_Fasulye
5,55,16,19.287373,22.823762,6.505857,483.451472,Kuru_Fasulye
14,73,16,21.383374,22.718694,5.974408,496.454392,Kuru_Fasulye
12,73,17,22.577364,24.568063,5.870057,495.804285,Kuru_Fasulye
32,62,19,19.297214,23.521226,6.572591,500.096815,Kuru_Fasulye
27,63,23,20.664171,24.483553,6.445535,506.742779,Kuru_Fasulye
23,65,19,19.777523,23.058047,6.756225,474.380505,Kuru_Fasulye
17,75,16,21.455919,25.020431,6.844747,496.234479,Kuru_Fasulye
13,62,19,19.577531,25.271799,6.751367,510.028826,Kuru_Fasulye
37,79,21,22.474434,22.37486,5.799303,493.637976,Kuru_Fasulye
36,56,17,19.725898,23.831046,6.137274,466.544558,Kuru_Fasulye
17,70,15,19.430446,25.362678,5.796272,473.88805,Kuru_Fasulye
29,58,19,22.382611,22.444275,6.805627,469.17554,Kuru_Fasulye
29,72,22,22.582789,22.924208,5.609368,496.399246,Kuru_Fasulye
7,76,23,19.469817,21.726694,6.301778,508.241786,Kuru_Fasulye
33,66,18,20.766152,24.361892,5.590432,489.943233,Kuru_Fasulye
29,74,19,20.477103,24.694647,5.690217,464.660941,Kuru_Fasulye
28,60,19,20.658756,22.622315,6.836697,500.145903,Kuru_Fasulye
10,75,18,21.532505,23.38349,5.645933,466.220325,Kuru_Fasulye
12,71,24,19.513349,23.566301,6.700585,482.814186,Kuru_Fasulye
28,75,18,21.74396,24.340592,6.20687,469.35368,Kuru_Fasulye
12,77,23,19.653717,23.755727,6.65927,500.830721,Kuru_Fasulye
26,70,16,22.461514,22.23033,6.49505,497.271432,Kuru_Fasulye
31,58,23,22.720706,22.466324,6.884786,501.623059,Kuru_Fasulye
9,59,23,19.356484,23.66591,6.709284,483.450975,Kuru_Fasulye
34,57,23,21.980125,21.486586,5.948327,486.927248,Kuru_Fasulye
27,65,23,19.912954,23.178333,6.293086,480.17808,Kuru_Fasulye
28,67,15,22.06975,22.387977,6.65246,507.7355,Kuru_Fasulye
36,65,24,21.862434,22.414055,6.557837,493.309817,Kuru_Fasulye
30,77,20,19.45731,21.679535,6.489283,484.075158,Kuru_Fasulye
27,70,15,19.752744,23.684344,6.60117,498.768353,Kuru_Fasulye
13,57,22,19.625372,21.446268,5.888408,506.03794,Kuru_Fasulye
24,60,17,21.368128,22.851673,5.910689,471.561004,Kuru_Fasulye
6,60,17,19.310839,22.238487,6.060742,511.767773,Kuru_Fasulye
24,79,23,20.542353,23.32921,6.889928,505.408649,Kuru_Fasulye
15,79,15,19.521757,24.927778,6.490474,496.67548,Kuru_Fasulye
30,54,21,20.086619,24.739661,6.728618,476.930989,Kuru_Fasulye
27,66,18,20.507478,25.874665,5.608528,473.102861,Kuru_Fasulye
15,69,23,19.201365,22.209732,6.11584,492.413164,Kuru_Fasulye
5,64,16,21.154084,25.192945,6.274253,472.893387,Kuru_Fasulye
27,63,24,21.340029,25.249257,6.639883,461.228998,Kuru_Fasulye
29,69,23,21.336655,21.534248,5.679294,460.272258,Kuru_Fasulye
8,70,15,22.761457,23.819781,6.455325,487.875681,Kuru_Fasulye
12,63,23,21.620362,21.654772,6.296378,490.444939,Kuru_Fasulye
29,61,22,20.492449,23.494616,6.677366,475.957605,Kuru_Fasulye
25,77,18,22.365315,25.080342,6.670558,493.225658,Kuru_Fasulye
34,68,15,20.959894,23.52213,5.990162,483.293909,Kuru_Fasulye
10,59,20,19.441896,22.217375,5.787203,472.520388,Kuru_Fasulye
17,72,17,22.809919,22.217794,6.483742,479.772811,Kuru_Fasulye
17,69,23,20.380495,25.479333,5.589178,510.959826,Kuru_Fasulye
26,71,21,19.654801,23.986959,6.801098,501.390652,Kuru_Fasulye
16,71,22,20.068051,21.76562,6.791212,477.479903,Kuru_Fasulye
34,64,24,19.628981,23.668878,6.169499,471.663465,Kuru_Fasulye
34,74,15,20.528434,21.31251,6.65745,468.911481,Kuru_Fasulye
15,74,17,22.667678,25.853786,6.520179,505.535049,Kuru_Fasulye
21,74,22,21.287019,22.200504,6.234434,464.90858,Kuru_Fasulye
29,56,19,21.905208,25.136597,6.719182,492.442517,Kuru_Fasulye
31,54,22,21.753627,21.430782,6.221765,464.853726,Kuru_Fasulye
34,75,44,18.244612,26.104119,6.822709,321.014822,Mercimek
43,51,43,19.328093,25.948126,7.655101,332.429862,Mercimek
40,61,50,16.869608,31.133167,7.279405,354.587299,Mercimek
22,56,40,17.582193,29.924002,7.999187,349.283761,Mercimek
37,63,57,17.53514,27.735173,7.941958,339.916252,Mercimek
34,67,41,19.035561,26.048613,6.85276,345.800501,Mercimek
42,55,54,17.918255,27.457088,6.712716,362.386768,Mercimek
31,72,44,16.155086,34.624462,7.188127,358.534533,Mercimek
42,74,55,18.577104,27.082961,7.831831,345.687777,Mercimek
40,56,54,18.294765,34.426109,6.96839,342.455117,Mercimek
44,70,51,19.70526,28.375433,7.770128,352.223479,Mercimek
24,52,57,17.304861,25.697191,7.543667,356.922716,Mercimek
29,72,41,17.629076,34.214279,7.361359,353.47716,Mercimek
40,56,47,19.828069,25.467588,7.03534,324.538417,Mercimek
42,58,51,18.362253,27.375403,7.068149,372.029378,Mercimek
22,70,48,18.455228,33.778237,7.492928,371.828481,Mercimek
44,62,50,17.662951,31.00629,7.08735,375.906067,Mercimek
28,69,59,18.761607,26.949644,7.983076,334.044493,Mercimek
28,58,60,16.44917,26.345444,6.801727,341.285926,Mercimek
39,71,50,17.110573,26.716166,7.42781,340.746319,Mercimek
43,58,47,17.061164,29.434363,7.121851,371.728541,Mercimek
23,52,59,16.34364,28.983129,7.666454,336.84215,Mercimek
45,57,51,18.936776,34.258343,7.746757,327.220872,Mercimek
26,61,43,18.869629,33.707631,7.626481,324.764816,Mercimek
24,63,46,19.146667,32.346476,6.798491,374.781234,Mercimek
24,51,60,19.070018,32.10134,6.553332,331.603818,Mercimek
34,51,56,17.376451,32.976699,6.977453,335.405158,Mercimek
30,73,43,17.052875,27.444069,7.071059,344.235228,Mercimek
26,61,47,18.070892,25.163562,7.858677,363.389122,Mercimek
30,66,43,17.497663,31.594025,6.766413,330.084894,Mercimek
36,60,59,19.84395,32.590534,6.724674,360.173853,Mercimek
27,61,45,16.728374,34.735006,7.040967,323.974409,Mercimek
24,66,40,17.368123,32.548743,7.624718,356.607435,Mercimek
37,61,48,17.847113,33.350283,7.125314,353.052086,Mercimek
43,66,41,16.097972,27.237475,7.238687,327.351765,Mercimek
21,65,57,17.356767,32.039705,6.918866,328.119601,Mercimek
28,75,48,19.543843,26.458854,7.491465,379.392136,Mercimek
21,74,42,16.711927,27.367088,6.696125,379.532664,Mercimek
45,60,51,17.286524,26.178658,7.885638,328.766898,Mercimek
27,59,49,19.162702,33.512601,7.409814,327.449102,Mercimek
31,69,42,18.406641,30.525273,6.946029,367.327238,Mercimek
43,75,48,19.089523,26.077676,7.079925,343.519272,Mercimek
24,70,42,16.948635,34.056755,7.394343,349.214311,Mercimek
40,61,51,16.198368,32.738104,7.608751,352.984792,Mercimek
25,66,53,19.628389,28.71745,7.783741,327.380491,Mercimek
28,58,46,18.3382,28.517111,7.388496,321.48159,Mercimek
24,61,45,19.655878,28.364593,6.842784,331.202056,Mercimek
22,56,58,16.635963,32.309133,7.085829,356.38269,Mercimek
34,53,48,16.525829,27.784277,7.336637,347.036674,Mercimek
35,57,41,17.479202,27.394559,7.922386,359.738676,Mercimek
39,58,59,17.702177,26.541427,7.099269,359.22058,Mercimek
33,70,57,17.308146,34.168558,7.634347,328.653678,Mercimek
39,67,42,19.686959,34.487286,7.054954,321.612194,Mercimek
29,72,47,19.277337,30.016046,6.591566,335.6964,Mercimek
30,70,54,18.412035,32.595301,6.756981,351.252931,Mercimek
24,74,55,18.904816,32.528461,6.921589,372.999866,Mercimek
28,67,46,16.909294,34.378202,7.922144,325.805314,Mercimek
27,70,40,17.346982,33.67697,6.804535,334.387972,Mercimek
43,54,54,18.447333,25.119654,7.162081,327.028936,Mercimek
45,71,40,19.6664,25.440146,7.597256,358.592398,Mercimek
38,65,56,18.891575,32.00048,7.167853,345.190732,Mercimek
23,60,44,18.561941,27.682727,6.780949,339.512787,Mercimek
43,64,56,19.123499,28.905539,7.776201,328.346845,Mercimek
45,74,49,19.294711,26.699494,7.523769,369.531709,Mercimek
25,51,54,19.901064,29.743677,7.655279,350.427414,Mercimek
35,68,55,16.639517,26.779758,7.954399,356.657976,Mercimek
36,64,45,19.036458,28.524407,7.432523,370.045431,Mercimek
40,62,44,16.794416,32.303921,6.78301,361.34692,Mercimek
43,55,45,18.07712,31.417671,6.89218,371.192184,Mercimek
29,62,40,18.154819,29.971211,7.540384,343.462746,Mercimek
43,52,42,19.473236,33.136228,7.300402,370.2875,Mercimek
39,62,55,18.693179,29.21154,6.855748,359.868062,Mercimek
43,66,45,18.571048,27.702695,7.169923,361.112566,Mercimek
34,65,49,16.258563,30.033506,6.57672,342.39705,Mercimek
28,63,43,17.453785,25.938422,7.774187,374.931647,Mercimek
44,59,56,19.475941,28.221722,7.499731,351.117211,Mercimek
37,57,43,17.129275,29.423871,6.696072,328.643903,Mercimek
23,62,50,16.976226,25.880463,7.910106,339.854451,Mercimek
29,64,54,17.722421,34.242216,7.608419,362.111324,Mercimek
43,55,56,17.156965,25.021979,7.986249,327.80879,Mercimek
30,63,65,19.866495,31.799689,6.67219,443.003553,Bakla
31,64,71,19.972591,35.01028,7.572321,429.166578,Bakla
46,64,89,18.908249,43.957392,7.544902,426.538583,Bakla
32,70,88,21.944499,41.367403,7.228907,421.842766,Bakla
44,66,82,19.051323,37.018338,7.403014,423.457574,Bakla
41,60,71,21.943894,40.421903,7.447739,410.052333,Bakla
36,70,63,20.210451,36.755299,7.559881,429.433423,Bakla
32,68,74,19.592517,39.605742,7.275066,442.667253,Bakla
37,69,65,21.735999,43.442349,6.717448,430.466191,Bakla
45,48,75,18.900632,30.950571,6.864848,428.080732,Bakla
32,60,76,19.715587,33.90601,7.595387,437.216281,Bakla
45,50,85,21.437505,44.514748,7.20279,442.536564,Bakla
30,63,69,18.052799,37.638828,7.229545,437.475552,Bakla
50,52,81,20.015038,32.950609,7.690348,432.165604,Bakla
48,54,81,21.211661,34.605445,6.647357,406.822837,Bakla
41,53,68,18.688206,32.962012,6.528602,423.21888,Bakla
41,67,84,18.590769,30.075484,7.170445,412.32503,Bakla
48,46,79,21.280729,30.08822,7.070021,449.817097,Bakla
30,47,61,19.532732,35.536704,6.80827,434.75717,Bakla
33,52,69,19.744738,34.887749,6.617652,418.537988,Bakla
33,70,60,19.039175,44.260293,6.741024,401.127489,Bakla
49,60,61,19.324505,36.961718,7.408862,409.121893,Bakla
31,51,61,20.278947,31.058397,7.691502,406.236788,Bakla
36,53,60,19.481763,34.91685,7.53269,444.232368,Bakla
36,60,83,19.913875,38.029286,7.34739,423.284482,Bakla
39,59,70,21.848177,31.932989,7.39165,431.91958,Bakla
42,49,81,21.993925,43.243436,6.834717,426.221854,Bakla
40,58,71,19.418166,41.326191,6.62216,409.033754,Bakla
32,48,64,21.470428,30.076895,7.327983,424.068867,Bakla
34,48,76,18.959884,41.173749,7.385359,404.929654,Bakla
47,68,74,19.808777,33.462711,6.831345,441.44541,Bakla
37,48,64,21.041363,35.31863,6.894828,402.095059,Bakla
36,51,71,20.662318,42.213294,7.26199,413.90497,Bakla
33,60,77,18.265942,39.912874,7.083571,425.419571,Bakla
44,49,83,19.500046,30.344493,7.016575,412.792996,Bakla
44,46,90,19.079554,43.619917,7.797388,440.980851,Bakla
34,49,88,20.71955,35.605431,7.300105,416.331693,Bakla
49,57,66,18.566495,31.374334,7.124782,427.440454,Bakla
32,70,79,20.406291,35.98198,7.305916,431.962311,Bakla
42,53,80,19.967697,32.219199,7.497062,403.663345,Bakla
48,67,70,20.218471,30.044889,7.44725,440.271927,Bakla
30,51,76,19.356788,40.962015,7.758211,449.252389,Bakla
37,59,63,20.84379,36.498381,6.555992,413.602069,Bakla
30,69,81,20.041777,41.782052,6.948927,416.26326,Bakla
46,66,72,19.5055,31.422393,7.148353,412.503078,Bakla
34,56,73,18.75647,31.979239,7.797104,410.052642,Bakla
31,50,62,19.579907,43.77602,6.915194,431.69469,Bakla
37,45,78,20.892353,40.822308,6.756895,407.157178,Bakla
42,66,65,20.748525,40.981831,7.666563,422.753406,Bakla
47,69,80,20.011643,43.92194,6.505512,431.546301,Bakla
38,62,72,18.167052,35.330035,7.297341,440.332753,Bakla
47,45,81,18.737381,40.507013,7.350451,407.534155,Bakla
44,48,87,18.043063,44.060791,6.857068,449.008637,Bakla
48,53,75,18.841644,40.239664,7.318423,445.723034,Bakla
37,69,76,18.408624,35.305926,7.077514,422.660345,Bakla
33,70,60,19.511213,34.572025,7.514001,406.177732,Bakla
48,45,79,18.639227,44.103617,6.901498,414.974435,Bakla
